Category,Resume


Data Science,"Skills * Programming Languages: Python (pandas, numpy, scipy, scikit-learn, matplotlib), Sql, Java, JavaScript/JQuery. * Machine learning: Regression, SVM, NaÃ¯ve Bayes, KNN, Random Forest, Decision Trees, Boosting techniques, Cluster Analysis, ord Embedding, Sentiment Analysis, Natural Language processing, Dimensionality reduction, Topic Modelling (LDA, NMF), PCA & Neural Nets. * Database Visualizations: Mysql, SqlServer, Cassandra, Hbase, ElasticSearch D3.js, DC.js, Plotly, kibana, matplotlib, ggplot, Tableau. * Others: Regular Expression, HTML, CSS, Angular 6, Logstash, Kafka, Python Flask, Git, Docker, computer vision - Open CV and understanding of Deep learning.Education Details 

Data Science Assurance Associate 

Data Science Assurance Associate - Ernst & Young LLP
Skill Details 
JAVASCRIPT- Experience - 24 months
jQuery- Experience - 24 months
Python- Experience - 24 monthsCompany Details 
company - Ernst & Young LLP
description - Fraud Investigations and Dispute Services   Assurance
TECHNOLOGY ASSISTED REVIE
TAR (Technology Assisted Revie) assists in accelerating the revie process and run analytics and generate reports.
* Core member of a team helped in developing automated revie platform tool from scratch for assisting E discovery domain, this tool implements predictive coding and topic modelling by automating revies, resulting in reduced labor costs and time spent during the layers revie.
* Understand the end to end flo of the solution, doing research and development for classification models, predictive analysis and mining of the information present in text data. orked on analyzing the outputs and precision monitoring for the entire tool.
* TAR assists in predictive coding, topic modelling from the evidence by folloing EY standards. Developed the classifier models in order to identify ""red flags"" and fraud-related issues.

Tools & Technologies: Python, scikit-learn, tfidf, ord2vec, doc2vec, cosine similarity, NaÃ¯ve Bayes, LDA, NMF for topic modelling, Vader and text blob for sentiment analysis. Matplot lib, Tableau dashboard for reporting.

MULTIPLE DATA SCIENCE AND ANALYTIC PROJECTS (USA CLIENTS)
TEXT ANALYTICS - MOTOR VEHICLE CUSTOMER REVIE DATA * Received customer feedback survey data for past one year. Performed sentiment (Positive, Negative & Neutral) and time series analysis on customer comments across all 4 categories.
* Created heat map of terms by survey category based on frequency of ords * Extracted Positive and Negative ords across all the Survey categories and plotted ord cloud.
* Created customized tableau dashboards for effective reporting and visualizations.
CHATBOT * Developed a user friendly chatbot for one of our Products hich handle simple questions about hours of operation, reservation options and so on.
* This chat bot serves entire product related questions. Giving overvie of tool via QA platform and also give recommendation responses so that user question to build chain of relevant anser.
* This too has intelligence to build the pipeline of questions as per user requirement and asks the relevant /recommended questions.

Tools & Technologies: Python, Natural language processing, NLTK, spacy, topic modelling, Sentiment analysis, ord Embedding, scikit-learn, JavaScript/JQuery, SqlServer

INFORMATION GOVERNANCE
Organizations to make informed decisions about all of the information they store. The integrated Information Governance portfolio synthesizes intelligence across unstructured data sources and facilitates action to ensure organizations are best positioned to counter information risk.
* Scan data from multiple sources of formats and parse different file formats, extract Meta data information, push results for indexing elastic search and created customized, interactive dashboards using kibana.
* Preforming ROT Analysis on the data hich give information of data hich helps identify content that is either Redundant, Outdated, or Trivial.
* Preforming full-text search analysis on elastic search ith predefined methods hich can tag as (PII) personally identifiable information (social security numbers, addresses, names, etc.) hich frequently targeted during cyber-attacks.
Tools & Technologies: Python, Flask, Elastic Search, Kibana

FRAUD ANALYTIC PLATFORM
Fraud Analytics and investigative platform to revie all red flag cases.
 FAP is a Fraud Analytics and investigative platform ith inbuilt case manager and suite of Analytics for various ERP systems.
* It can be used by clients to interrogate their Accounting systems for identifying the anomalies hich can be indicators of fraud by running advanced analytics
Tools & Technologies: HTML, JavaScript, SqlServer, JQuery, CSS, Bootstrap, Node.js, D3.js, DC.js"


Data Science,"Education Details 
 MCA   YMCAUST,  Faridabad,  Haryana
Data Science internship 


Skill Details 
Data Structure- Experience - Less than 1 year months
C- Experience - Less than 1 year months
Data Analysis- Experience - Less than 1 year months
Python- Experience - Less than 1 year months
Core Java- Experience - Less than 1 year months
Database Management- Experience - Less than 1 year monthsCompany Details 
company - Itechpoer
description - "

Data Science,"SKILLS C Basics, IOT, Python, MATLAB, Data Science, Machine Learning, HTML, Microsoft ord, Microsoft Excel, Microsoft Poerpoint. RECOGNITION Academic Secured First place in B.Tech.Education Details 
August 2014 to May 2018 B.Tech.  Ghatkesar, Andhra Pradesh Aurora's Scientific and Technological Institute
June 2012 to May 2014  Secondary Education arangal, Telangana SR Junior College
Data Science 


Skill Details 
MS OFFICE- Experience - Less than 1 year months
C- Experience - Less than 1 year months
machine learning- Experience - Less than 1 year months
data science- Experience - Less than 1 year months
Matlab- Experience - Less than 1 year monthsCompany Details 
company - 
description - "

Data Science,"Skills  Python  Tableau  Data Visualization  R Studio  Machine Learning  Statistics IABAC Certified Data Scientist ith versatile experience over 1+ years in managing business, data science consulting and leading innovation projects, bringing business ideas to orking real orld solutions. Being a strong advocator of augmented era, here human capabilities are enhanced by machines, Fahed is passionate about bringing business concepts in area of machine learning, AI, robotics etc., to real life solutions.Education Details 
January 2017 B. Tech Computer Science & Engineering Mohali, Punjab Indo Global College of Engineering
Data Science Consultant 

Data Science Consultant - Datamites
Skill Details 
MACHINE LEARNING- Experience - 13 months
PYTHON- Experience - 24 months
SOLUTIONS- Experience - 24 months
DATA SCIENCE- Experience - 24 months
DATA VISUALIZATION- Experience - 24 months
Tableau- Experience - 24 monthsCompany Details 
company - Datamites
description -  Analyzed and processed complex data sets using advanced querying, visualization and analytics tools.
 Responsible for loading, extracting and validation of client data.
 orked on manipulating, cleaning & processing data using python.
 Used Tableau for data visualization.
company - Heretic Solutions Pvt Ltd
description -  orked closely ith business to identify issues and used data to propose solutions for effective decision making.
 Manipulating, cleansing & processing data using Python, Excel and R.
 Analyzed ra data, draing conclusions & developing recommendations.
 Used machine learning tools and statistical techniques to produce solutions to problems."

Data Science,"Personal Skills  Ability to quickly grasp technical aspects and illingness to learn  High energy levels & Result oriented. Education Details 
January 2018 Master of Engineering Computer Technology & Application Bhopal, Madhya Pradesh Truba Institute of Engineering & Information Technology
January 2010 B.E. computer science Bhopal, Madhya Pradesh RKDF Institute of Science and Technology College of Engineering
January 2006 Polytechnic Information Technology Vidisha, Madhya Pradesh SATI Engineering College in Vidisha
January 2003 M.tech Thesis Detail  BMCH School in Ganj basoda
Data science 

I have six month experience in Data Science. Key Skills: - Experience in Machine Learning, Deep Leaning, NLP, Python, SQL, web Scraping Good knoledge in computer subjects and ability to update
Skill Details 
Experience in Machine Learning, Deep Learning, NLP, Python, SQL, web Craling, HTML,CSS.- Experience - Less than 1 year monthsCompany Details 
company - RNT.AI Technology Solution
description - Text classification using Machine learning Algorithms ith python.
Practical knoledge of Deep learning algorithms such as   Recurrent Neural Netorks(RNN).
Develop custom data models and algorithms to apply to dataset
Experience ith Python packages like Pandas, Scikit-learn, Tensor Flo, Numpy, Matplotliv, NLTK.
Comfort ith SQL,   MYSQL
Sentiment analysis.
  Apply leave Dataset using classification technique like Tf--idf , LSA ith cosine similarity using Machine learning Algorithms.
web craling using Selenium web driver and Beautiful Soup ith python.
company - Life Insurance Corporation of India Bhopal
description - Ã¼  Explaining policy features and the benefits
Ã¼ Updated knoledge of life insurance products and shared ith customers"


HR,"TECHNICAL SKILLS  Typeriting  TORA  SPSSEducation Details 
January 2017 MBA  Chidambaram, Tamil Nadu SNS College of Engineering
January 2014 HSC   at SAV Higher Secondary School
 MBA   SNS College of Engineering
 SSLC Finance  at Kamaraj Matriculation School
HR 


Skill Details 
Human resource, Finance- Experience - Less than 1 year monthsCompany Details 
company - 
description - "

HR,"I.T. Skills  indos XP, Ms Office (ord, Excel: Look-ups; Pivot table; other basic functions ; Poer Point)  Saral Payment Package- payroll softare  Internet ApplicationsEducation Details 
January 2006 Bachelor in Hospitality Management International Hospitality Management  Queen Margaret University Edinburg
January 2006 diploma Hotel Management  International Institute of Hotel Management
HR 


Skill Details 
Hr Management- Experience - Less than 1 year monthsCompany Details 
company - Atri Developers
description -  HR Payroll Statutory Compliance Performance Management
company - 
description - Employee Relations and Administration: Creating industry specific Policies, Procedure, Forms, Formats, Letters, Checklists etc

Payroll Management: Salary restructuring to process payroll of 600 employees.
 Validation of all input (Attendance, Leaves, and Salaries) before starting salary process.
 Processing accurate & error free salary of employees.
 Responsible for compensation and benefits administration.
 Coordinate ith Accounts team for salary processing.
 Attendance & Leave record management
 Assuring prompt and satisfactory resolution of payroll related queries of all employees.

Statutory Compliance Management:
  Manage various statutory compliance requirements (PF, ESIC, PT, Gratuity, TDS etc calculations, deduction, payment and return filing.
 Generate statutory reports like Form 16, Form 24Q. Conducting session ith employees on Statutory Policies and procedure, compliance related topics.
 Shops and Commercial Establishments Act (S&E)
 The Payment of Gratuity Act 1972
Recruitment and Selection: Handling recruitment like job posting in naukri portal and coordination. Create annual manpoer plan and budget. Screen and schedule preliminary intervie. Arrange for employee orientation. Handling joining formalities and salary account opening formalities.

Performance Management: End to end facilitation of PMS starting from creating Job Description & Appraisal Forms to Disbursement of Letters. KRA setting, Mid-year revies, Annual revies, handling all appraisal activities (360 Degree)

Training and Development: Conduct training need analysis and arrange various training session.

Employee engagement and  Employee elfare: Creation and deployment  of Sales  Reards and Recognition Schemes, Periodic Interactive sessions like Monthly Birthday Celwebration, Annual Day, Diali Dhamaka, Offsite etc.
orking on Saral Payment Package- payroll softare as ell as on excel
Assisting MD in HR orks, offering suggestions and ansering employee queries on payroll compliance related issues, other benefits (insurance, medical, reimbursement, ), full & final settlement of resigned employees."


HR,"KEY SKILLS:  Computerized accounting ith tally  Sincere & hard orking  Management accounting & income tax  Good communication & leadership  To and four heeler driving license  Internet & Ecommerce management COMPUTER SKILLS:  C Language  web programing  Tally  Dbms Education Details 
June 2017 to June 2019 Mba Finance/hr India Mlrit
June 2014 to June 2017 Bcom Computer Hyderabad, Telangana Osmania university
June 2012 to April 2014 Inter MEC India Srimedhav
Hr 

Nani
Skill Details 
accounting- Experience - 6 months
DATABASE MANAGEMENT SYSTEM- Experience - 6 months
Dbms- Experience - 6 months
Management accounting- Experience - 6 months
Ecommerce- Experience - 6 monthsCompany Details 
company - Valuelabs
description - They ill give the RRF form the required DLT then the hand over to RLT then scrum master ill take the form from the RLT then scrum master ill give the forms to trainee hich e can ork on the requirement till the candidate receive the offer from the company"

HR,"Training in Special Education (Certificate Course) Education Details 
July 2016 to October 2018 M.Sc Psychology ith specialization in Organizational Behaviour Malappuram, Kerala Calicut University
July 2013 to March 2016 BSc Psychology Thrissur Prajyoti Niketan College
HR 


Skill Details 
Company Details 
company - 
description - I have done a 30 days internship in the HR department of Foster Hot Breads, KINFRA, Malappuram, Kerala and I have also done a 60 days internship at Santhana Institute of Counselling and Psychotherapy, Cochin, Kerala as Counsellor"

HR,"Computer Knoledge:  Proficient in basic use of MS office  Microsoft Dynamics AX softare  SAIBA softareEducation Details 
 MBA   Distance education Bharathiar University
 BE   PA College of Engineering and Technology
 HSC   R.V.G. Hr Sec School
 SSC   G.Hr.Sec School
HR 

Admin in Bharat
Skill Details 
DYNAMICS- Experience - 6 months
DYNAMICS AX- Experience - 6 months
MICROSOFT DYNAMICS- Experience - 6 months
MICROSOFT DYNAMICS AX- Experience - 6 months
MS OFFICE- Experience - 6 monthsCompany Details 
company - Sri Ramesh Gaarment
description - Tirupur

Administration as ell as clients service
Here corporate companies only insured so that knoledge gathered about
Garments, spinning mills

 FwEB 2018 to Still: Sri Ramesh Gaarment Tirupur.

HR Activities
Attendance maintenance, Time cards maintenance,
Staffs and labors individual records maintenance

Project:
 Advanced automobile collision avoidance and blackbox in CAR"

HR,"SOFTARE SKILLS:  General Computer Proficiency  Program Langages knon C, C+, Java, web Programming  Tools & Softare kno MATLAB. DBMS KEY STRENGTHS:  Posse's Good communication and analytic skills.  Positive thinking. Sincere, Hard ork, Honesty, Responsibility.  Enthusiastic to learn ne skills & take up ne tasks.  Self - motivated.  Ready to accept challenges Education Details 
January 2014 to January 2017 BE in computer science and engineering computer science engineering  Adichunchanagiri institute of technology chikmagalur
HR 


Skill Details 
DATABASE MANAGEMENT SYSTEM- Experience - 6 months
DBMS- Experience - 6 months
JAVA- Experience - 6 months
MATLAB- Experience - 6 monthsCompany Details 
company - Yours Truly
description - Jayashree H .K)"

